ASA,ASE,Variable,Description,CMD
None,True,ChatLogFileSplitIntervalSeconds,Default value: 86400 Value type: integer Controls how to split the chat log file related to time in seconds. Cannot be set to a value lower than 45 (will default to 45 if the value is lower). Set to 0 only in official. Undocumented by Wildcard.,X
None,True,ChatLogFlushIntervalSeconds,Default value: 86400 Value type: integer Controls in how many second the chat log is flushed to log file. Cannot be set to a value lower than 15 (will default to 15 if the value is lower). Set to 0 only in official. Undocumented by Wildcard.,X
None,True,ChatLogMaxAgeInDays,Default value: 5 Value type: integer Controls how many days the chat log is long. Set it to a negative value will result it to set at -1 (virtually infinite). Set to 0 only in official. Undocumented by Wildcard.,X
None,True,DontRestoreBackup,"Default value: False Value type: boolean If True and -DisableDupeLogDeletes is present, prevents the server to automatically restore a backup in case of corrupted save. Undocumented by Wildcard.",V
None,True,EnableAFKKickPlayerCountPercent,"Default value: 0.0 Value type: float Enables the idle timeout to be applied only if the amount of online players reaches percentage value related to MaxPlayers argument. The percentage is expressed as normalised value between 0 and 1.0, where 1.0 means 100%. Official set it to 0.89999998. Undocumented by Wildcard.",X
None,True,EnableMeshBitingProtection,"Default value: True Value type: boolean If False, disables mesh biting protection. Undocumented by Wildcard.",V
None,True,FreezeReaperPregnancy,"Default value: False Value type: boolean If True, freezes the  Reaper King pregnancy timer and experience gain. Undocumented by Wildcard.",X
None,True,LogChatMessages,"Default value: False Value type: boolean If True, enables advanced chat logging. Chat logs will be saved in ShooterGame/Saved/Logs/ChatLogs/<SessionName>/ in json format. The log will contain informations like Disabled on official. The file will be split according to ChatLogFileSplitIntervalSeconds value and flushed every ChatLogFlushIntervalSeconds seconds value. Note: <SessionName> will be written without spaces. Undocumented by Wildcard.",X
None,True,MaxStructuresInSmallRadius,Default value: 0 Value type: integer Defines the amount of max structures allowed to be placed in a RadiusStructuresInSmallRadius from player position. Official set it to 40. Undocumented by Wildcard.,V
None,True,MaxStructuresToProcess,"Default value: 0 Value type: integer Controls the max batch size of structures to process (e.g.: culling, building graphs modifications, etc) at each server tick. Leaving at 0 (default behaviour) will force the server to process all structures in queue. It's a trade-off between how much can cost a server tick (worst case scenario) and simulation accuracy. Official set it to 5000. Undocumented by Wildcard.",V
None,True,PreventOutOfTribePinCodeUse,"Default value: False Value type: boolean If True, prevents out of tribe players to use pins on structures (doors, elevators, storage boxes, etc). Undocumented by Wildcard.",V
None,True,RadiusStructuresInSmallRadius,Default value: 0.0 Value type: float Defines the small radius dimension (in Unreal Units) used by MaxStructuresInSmallRadius. Official set it to 225.0. Undocumented by Wildcard.,V
None,True,ServerEnableMeshChecking,Default value: False Value type: boolean Involved in foliage repopulation. Takes no effect if -forcedisablemeshchecking is set. Enabled on official. Undocumented.,V
None,True,TribeMergeAllowed,"Default value: True Value type: boolean If False, prevents tribe to merge. Undocumented by Wildcard.",X
None,True,TribeMergeCooldown,Default value: 0.0 Value type: float Tribe merge cool-down in seconds. Official uses 86400.0. Undocumented by Wildcard.,X
None,True,UpdateAllowedCheatersInterval,Default value: 600.0 Value type: float Times in seconds at which the remote admin list linked by AllowedCheatersURL is queried for updates. Any value less than 3.0 will be reverted to 3.0. Undocumented by Wildcard.,V
None,True,UseExclusiveList,"Default value: False Value type: boolean If True, allows same behaviour as -exclusivejoin. Undocumented by Wildcard.",V
True,True,[SessionSettings],"The following options must come under the [SessionSettings] section of GameUserSettings.ini.",V
The following options must come under the [SessionSettings] section of GameUserSettings.ini.
True,True,Port,Default value: 7777 Value type: integer Specifies the UDP Game Port. See Dedicated server setup.,V
None,True,QueryPort,Default value: 27015 Value type: integer Specifies the UDP Steam Query Port. See Dedicated server setup,V
True,True,SessionName,"Default value: ARK #123456 Value type: string Specifies the Server name advertised in the Game Server Browser as well in Steam Server browser. If no name is provide, the default name will be ARK # followed by a random 6 digit number. Note: Name must not be typed between quotes unless it is launched from command line.",V
None,True,[/Script/Engine.GameSession],"Not used on ASA, but ASADedicatedManager will automatically add this setting in the server launch command line: -WinLiveMaxPlayers The following options must be in the [/Script/Engine.GameSession] section of GameUserSettings.ini",X
False,True,MaxPlayers,"Default value: 70 Value type: integer Specifies the maximum number of players that can play on the server simultaneously.ASA: This setting is replaced with -WinLiveMaxPlayers in the command line options, as otherwise, it will force it back to the default value. ASADedicatedManager will automatically add this setting in the server launch command line: -WinLiveMaxPlayers x",V
None,True,[Ragnarok],"Only used on the Ragnarok map. The following options must come under the [Ragnarok] section of GameUserSettings.ini",X
None,True,AllowMultipleTamedUnicorns,"Default value: False Value type: boolean False = one unicorn on the map at a time, True = one wild and unlimited tamed Unicorns on the map.",X
None,True,EnableVolcano,"Default value: True Value type: boolean False = disabled (the volcano will not become active), True = enabled",X
None,True,UnicornSpawnInterval,"Default value: 24 Value type: integer How long in hours the game should wait before spawning a new Unicorn if the wild one is killed (or tamed, if AllowMultipleTamedUnicorns is enabled). This value sets the minimum amount of time (in hours), and the maximum is equal to 2x this value.",X
None,True,VolcanoIntensity,"Default value: 1 Value type: float The lower the value, the more intense the volcano's eruption will be. Recommended to leave at 1. The minimum value is 0.25, and for multiplayer games, it should not go below 0.5. Very high numbers will basically disable the flaming rocks flung out of the volcano.",X
None,True,VolcanoInterval,"Default value: 0 Value type: integer 0 = 5000 (min) - 15000 (max) seconds between instances of the volcano becoming active. Any number above 0 acts as a multiplier, with a minimum value of .1",X
None,True,Duration,Default value: 20 Value type: integer Specifies in seconds the duration of the displayed message on player log-in.,X
True,True,Message,"Default value: N/A Value type: string A single line string for a message displayed to played once logged-in. No quotes needed. Use \n to start a new line in the message.",X
